SystemCodeNumber,VehicleType,Day,Time,AvgTrafficConditionNearby,AvgQueueLength,AvgOccupancy,Utilization,QueuePressure,QueueLengthNorm,price
0,0,0,08:00:00,0,1,20,0.0347,0.0017953321364452,0.07142857142857142,10.2
0,0,0,09:00:00,0,1,41,0.0711,0.0018680245864892,0.07142857142857142,10.33
0,0,0,10:00:00,0,2,88,0.1534,0.0040943759953063,0.14285714285714285,10.69
0,0,0,10:30:00,1,4,113,0.1958,0.0086206896551724,0.2857142857142857,11.11
0,0,0,11:30:00,1,4,178,0.3085,0.0100250626566416,0.2857142857142857,11.51
0,0,0,12:30:00,2,6,152,0.2626,0.014119794259167,0.42857142857142855,11.88
0,0,0,13:00:00,2,7,198,0.3432,0.0184696569920844,0.5,12.24
0,0,0,13:30:00,2,9,177,0.3068,0.0225,0.6428571428571429,12.26
0,0,0,15:00:00,0,3,300,0.5199,0.0108303249097472,0.21428571428571427,12.31
0,0,0,15:30:00,0,2,274,0.4749,0.0066006600660066,0.14285714285714285,12.08
0,0,0,16:00:00,0,2,130,0.2253,0.0044742729306487,0.14285714285714285,11.19
0,0,0,16:30:00,0,2,156,0.2695,0.0047828159041394,0.14285714285714285,11.35
0,0,1,09:00:00,0,1,39,0.0682,0.0024785342953648,0.07142857142857142,10.32
0,0,1,09:30:00,0,2,60,0.1049,0.0029188350155221,0.14285714285714285,10.52
0,0,1,10:30:00,1,3,171,0.2964,0.0073891625615763,0.21428571428571427,11.4
0,0,1,12:00:00,2,6,245,0.4246,0.0179772421565419,0.42857142857142855,12.46
0,0,1,12:30:00,2,8,236,0.4081,0.0234683709583204,0.5714285714285714,12.55
0,0,1,13:00:00,2,6,217,0.3761,0.0166666666666666,0.42857142857142855,12.28
0,0,1,13:30:00,2,6,226,0.3908,0.0185374149659863,0.42857142857142855,12.34
0,0,1,14:30:00,1,3,200,0.3472,0.0088614212005907,0.21428571428571427,11.83
0,0,1,15:00:00,0,2,259,0.4489,0.008835379588211,0.14285714285714285,11.99
0,0,1,15:30:00,0,2,157,0.2721,0.0047619047619047,0.14285714285714285,11.36
0,0,1,16:00:00,0,2,273,0.4731,0.006578947368421,0.14285714285714285,12.07
0,0,2,08:00:00,0,1,30,0.052,0.0018281780050467,0.07142857142857142,10.26
0,0,2,09:30:00,0,1,49,0.0849,0.0018939393939393,0.07142857142857142,10.38
0,0,2,11:00:00,1,4,132,0.2288,0.008988945616879,0.2857142857142857,11.23
0,0,2,11:30:00,1,4,150,0.26,0.009367681498829,0.2857142857142857,11.34
0,0,2,12:30:00,2,7,173,0.3004,0.017356395722384,0.5,12.09
0,0,2,13:00:00,2,7,199,0.3443,0.0177198963021901,0.5,12.24
0,0,2,15:00:00,1,3,152,0.264,0.0070382542884863,0.21428571428571427,11.53
0,0,2,15:30:00,0,2,181,0.3137,0.0051573580261384,0.14285714285714285,11.51
0,0,2,16:00:00,0,2,126,0.2192,0.0044470109768617,0.14285714285714285,11.17
0,0,2,16:30:00,0,2,118,0.2045,0.004358312127312,0.14285714285714285,11.12
0,0,3,08:00:00,0,2,54,0.0936,0.0038240917782026,0.14285714285714285,10.48
0,0,3,09:00:00,0,1,46,0.0789,0.0018828689041455,0.07142857142857142,10.35
0,0,3,09:30:00,0,2,75,0.13,0.0033369474167747,0.14285714285714285,10.61
0,0,3,11:00:00,1,5,169,0.2929,0.0122549019607843,0.35714285714285715,11.53
0,0,3,11:30:00,2,5,182,0.3163,0.0126255158847503,0.35714285714285715,11.74
0,0,3,12:00:00,2,7,207,0.3588,0.0189189189189189,0.5,12.3
0,0,3,12:30:00,2,7,225,0.3899,0.0198921432492653,0.5,12.41
0,0,3,13:30:00,2,6,210,0.3631,0.0177166812330573,0.42857142857142855,12.24
0,0,3,14:30:00,1,3,175,0.3033,0.0074626865671641,0.21428571428571427,11.67
0,0,3,15:30:00,0,2,148,0.2574,0.0046679593882086,0.14285714285714285,11.31
0,0,4,08:00:00,0,1,44,0.0763,0.0018761726078799,0.07142857142857142,10.35
0,0,4,09:00:00,0,2,40,0.0693,0.0037243947858473,0.14285714285714285,10.39
0,0,4,09:30:00,0,2,82,0.1421,0.004040404040404,0.14285714285714285,10.65
0,0,4,11:30:00,1,5,276,0.4775,0.0183904259991216,0.35714285714285715,12.2
0,0,4,12:00:00,2,7,192,0.3336,0.018207955621702,0.5,12.2
0,0,4,13:00:00,2,6,164,0.2842,0.0145278450363196,0.42857142857142855,11.95
0,0,4,15:00:00,0,2,282,0.4887,0.0067796610169491,0.14285714285714285,12.13
0,0,4,15:30:00,0,2,159,0.2756,0.0047846889952153,0.14285714285714285,11.37
0,0,4,16:00:00,0,2,158,0.2738,0.0047732696897374,0.14285714285714285,11.36
0,0,5,08:30:00,0,2,37,0.0641,0.0037037037037037,0.14285714285714285,10.87
0,0,5,10:00:00,0,3,126,0.2192,0.0066594725638599,0.21428571428571427,11.49
0,0,5,10:30:00,1,4,196,0.3397,0.0104986876640419,0.2857142857142857,12.12
