TimeStamp,SystemCodeNumber,VehicleType,TrafficConditionNearby,IsSpecialDay,TimeCategory,Occupancy,Utilization,QueueLength,QueuePressure
2016-10-04 08:00:00,0,2,0,0,0,61,0.10571923743500866,1,0.0019361090268663972
2016-10-04 08:00:00,4,1,0,0,0,237,0.1975,2,0.0020746895408603706
2016-10-04 08:00:00,3,2,0,0,0,264,0.38427947598253276,2,0.00471698987813886
2016-10-04 08:00:00,5,2,0,0,0,249,0.51340206185567,2,0.008438868645864624
2016-10-04 08:00:00,13,0,0,0,0,614,0.31979166666666664,2,0.0015302221807676397
2016-10-04 08:00:00,2,2,0,0,0,117,0.24893617021276596,2,0.005649732542119029
2016-10-04 08:00:00,6,2,0,0,0,178,0.2579710144927536,2,0.003898640415657323
2016-10-04 08:00:00,11,1,1,0,0,445,0.33661119515885024,3,0.0034149151000691163
2016-10-04 08:00:00,7,2,0,0,0,709,0.35291189646590343,2,0.0015372793188864477
2016-10-04 08:00:00,8,2,0,0,0,195,0.06956831965750981,1,0.00038336209018486017
2016-10-04 08:00:00,1,2,0,0,0,120,0.31007751937984496,2,0.007462721201589576
2016-10-04 08:00:00,9,2,0,0,0,1081,0.27839299510687615,2,0.0007135212575283971
2016-10-04 08:00:00,10,1,0,0,0,547,0.18624446714334356,2,0.000836470144966004
2016-10-04 08:00:00,12,2,1,0,0,588,0.1894940380277151,2,0.0007949126014762876
2016-10-04 08:30:00,11,3,0,0,0,478,0.3615733736762481,2,0.0023668650102661643
2016-10-04 08:30:00,5,3,0,0,0,267,0.5505154639175258,2,0.00913248356327253
2016-10-04 08:30:00,7,2,1,0,0,780,0.38825286212045795,3,0.0024380345274302656
2016-10-04 08:30:00,10,2,0,0,0,665,0.22642151855635,2,0.0008798944694393802
2016-10-04 08:30:00,9,1,0,0,0,1467,0.3778006695853721,3,0.001240951555321688
2016-10-04 08:30:00,1,2,1,0,0,129,0.3333333333333333,2,0.007722046093910303
2016-10-04 08:30:00,3,2,0,0,0,302,0.4395924308588064,1,0.0025940351770466375
2016-10-04 08:30:00,2,1,0,0,0,174,0.3702127659574468,1,0.003372684478639246
2016-10-04 08:30:00,12,1,1,0,0,678,0.21849822752175313,3,0.0012363488078053096
2016-10-04 08:30:00,6,2,0,0,0,269,0.3898550724637681,2,0.0047393453638965525
2016-10-04 08:30:00,8,2,1,0,0,238,0.0849090260435248,2,0.0007794232662705002
2016-10-04 08:30:00,13,2,0,0,0,761,0.3963541666666667,2,0.0017241383581397892
2016-10-04 08:30:00,4,1,0,0,0,315,0.2625,2,0.0022573373016499735
2016-10-04 08:30:00,0,2,0,0,0,64,0.11091854419410745,1,0.0019474202843955733
2016-10-04 09:00:00,11,2,1,0,0,518,0.3918305597579425,3,0.0037243990909824284
2016-10-04 09:00:00,1,2,0,0,0,155,0.4005167958656331,2,0.008583743691391473
2016-10-04 09:00:00,8,2,0,0,0,323,0.11523367820192651,2,0.0008061266055246605
2016-10-04 09:00:00,13,2,0,0,0,958,0.49895833333333334,2,0.0020768439448391246
2016-10-04 09:00:00,9,2,0,0,0,2007,0.516868400721092,2,0.001065530202038234
2016-10-04 09:00:00,6,1,0,0,0,415,0.6014492753623188,3,0.010850016024065774
2016-10-04 09:00:00,5,2,0,0,0,278,0.5731958762886598,2,0.00961545869944193
2016-10-04 09:00:00,2,3,0,0,0,269,0.5723404255319149,2,0.009901070982711582
2016-10-04 09:00:00,3,3,0,0,0,346,0.5036390101892285,2,0.005847969882423126
2016-10-04 09:00:00,0,2,0,0,0,80,0.1386481802426343,2,0.004016069654889938
2016-10-04 09:00:00,12,2,0,0,0,792,0.25523686754753466,3,0.0012972974792411574
2016-10-04 09:00:00,4,2,0,0,0,441,0.3675,2,0.0026315804660559097
2016-10-04 09:00:00,10,1,0,0,0,848,0.28872999659516513,2,0.0009569378720677892
2016-10-04 09:00:00,7,2,0,0,0,864,0.4300647088103534,2,0.0017452011410306672
2016-10-04 09:30:00,2,0,0,0,0,351,0.7468085106382979,3,0.024897551621727177
2016-10-04 09:30:00,1,0,0,0,0,204,0.5271317829457365,2,0.01086967223690388
2016-10-04 09:30:00,10,2,0,0,0,1036,0.35274089206673476,3,0.0015768728628814614
2016-10-04 09:30:00,11,0,0,0,0,590,0.4462934947049924,3,0.004089985251525117
2016-10-04 09:30:00,6,2,0,0,0,530,0.7681159420289855,2,0.012422519998557152
2016-10-04 09:30:00,12,2,0,0,0,932,0.30035449564937156,3,0.0013808978028629093
2016-10-04 09:30:00,8,1,0,0,0,420,0.14983945772386728,2,0.0008389262236994687
2016-10-04 09:30:00,7,2,0,0,0,1004,0.4997511199601792,3,0.0029806281381377997
2016-10-04 09:30:00,0,2,0,0,0,107,0.1854419410745234,2,0.004246290881451108
2016-10-04 09:30:00,13,0,0,0,0,1121,0.5838541666666667,3,0.003747662100239828
2016-10-04 09:30:00,9,1,0,0,0,2502,0.6443471542621684,3,0.0021699827683227565
2016-10-04 09:30:00,3,3,0,0,0,414,0.6026200873362445,2,0.007299302481611561
2016-10-04 09:30:00,4,1,0,0,0,552,0.46,2,0.0030816665374081005
2016-10-04 09:30:00,5,3,0,0,0,302,0.622680412371134,3,0.016260520871780308
2016-10-04 10:00:00,4,2,0,0,0,638,0.5316666666666666,2,0.0035524016043678225
2016-10-04 10:00:00,13,3,0,0,0,1254,0.653125,3,0.0044943895878393125
2016-10-04 10:00:00,11,3,0,0,0,657,0.4969742813918306,3,0.004501132880791586
2016-10-04 10:00:00,2,1,0,0,0,397,0.8446808510638298,2,0.027028672387919325
2016-10-04 10:00:00,12,0,0,0,0,1052,0.33902674830808893,3,0.001461632416122929
2016-10-04 10:00:00,8,2,0,0,0,476,0.1698180520870496,3,0.001288383257454517
2016-10-04 10:00:00,1,2,0,0,0,236,0.6098191214470284,2,0.013158084577511135
2016-10-04 10:00:00,7,2,0,0,0,1142,0.5684420109507218,3,0.0034542348680875507
2016-10-04 10:00:00,10,2,0,0,0,1163,0.39598229485869935,3,0.001689665285126533
2016-10-04 10:00:00,6,2,0,0,0,600,0.8695652173913043,2,0.021978906718775244
2016-10-04 10:00:00,5,2,1,0,0,327,0.6742268041237114,3,0.0188093319574962
2016-10-04 10:00:00,0,1,0,0,0,150,0.25996533795493937,2,0.004672905699392418
2016-10-04 10:00:00,9,3,0,0,0,2802,0.7216070048931239,3,0.002771364360383242
2016-10-04 10:00:00,3,2,0,0,0,485,0.7059679767103348,3,0.014742281737203421
2016-10-04 10:30:00,11,2,0,0,0,715,0.5408472012102874,3,0.00493016610785867
2016-10-04 10:30:00,2,2,0,0,0,430,0.9148936170212766,3,0.0723206615796261
2016-10-04 10:30:00,12,2,0,0,0,1142,0.368030937802127,4,0.002037698107015331
2016-10-04 10:30:00,6,2,0,0,0,642,0.9304347826086956,4,0.08004270767353638
2016-10-04 10:30:00,0,2,0,0,0,177,0.30675909878682844,3,0.007472014838700997
2016-10-04 10:30:00,7,3,0,0,0,1245,0.6197112991538078,4,0.005221943981151675
2016-10-04 10:30:00,8,0,0,0,0,525,0.1872993221548341,4,0.0017543864148934993
2016-10-04 10:30:00,4,2,1,0,0,686,0.5716666666666667,4,0.0077519768043179515
2016-10-04 10:30:00,10,2,0,0,0,1257,0.4279877425944842,3,0.0017841217935013985
